Comments,Is Post Date Current Month,Program Account ID Filter,Campaign ID,Campaign Name,Campaign Status,Campaign Topic,Company Name,Country,Currently Authorized,Date Created,Favorites,Followers On Date of Posting,Geographic Region Name,Total Interactions,Likes,Language,Number of Records,Page Views,Partner ID,Post Content,Post Creation Date,Post Date,Posted Indication,Program Name,Retweets,SW Account ID,Send On Date,Social Account ID,Social Name,Social Post ID,Unique Page Views
0,No,True,1807752,HyperScale™ Appliance - Social Content - Facebook,Active,HyperScale Appliance,Business Bridge 2 USA LLC,United States,No,3/14/2018 1:49:12 PM,0,,Americas,0,0,,1,0,518113,Learn more about #Commvault #HyperScale Technology. Watch our on-demand webinar here:http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3109049&SWThemeID=38377,3/14/2018 1:49:13 PM,,0,AMS Partner Marketing,0,52272,3/7/2018 1:00:00 PM,38563,Facebook,1584541,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,expoIT,United States,No,8/2/2017 4:27:09 PM,0,,Americas,0,0,,1,1,514062,"How vulnerable is your data in the #cloud to a #cyber-attack? In his new blog, http://ow.ly/r6pp100YnC8 Gary Lim highlights the measures you should take to ensure your valuable data is protected.",3/19/2018 11:55:11 AM,3/20/2018 11:00:09 AM,1,Global Partner Marketing,0,52965,3/20/2018 11:00:00 AM,37064,LinkedIn,1586201,1
0,No,True,1807763,HyperScale™ Appliance - Social Content - LinkedIn,Inactive,HyperScale Appliance,DDP Consulting Pty Ltd,South Africa,No,1/29/2018 9:03:34 AM,0,,EMEA,0,0,,1,0,112469,Great new coverage from @TechRepublic about Commvault's #HyperScale appliance. Check it out: http://ow.ly/y0CW30g5PQG #scaleout #scaleup,3/6/2018 5:45:37 PM,,0,AMS Partner Marketing,0,33969,3/21/2018 10:00:00 PM,37187,LinkedIn,1584373,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Active,,Netconsulting Informatica Prestacao de Servicos Ltda,Brazil,Yes,9/25/2017 8:39:00 AM,0,,Americas,0,0,,1,0,523618,"Do you have the right tools for cloud data management? Learn how to balance on-premises data and cloud for an effective hybrid approach.
https://www.youtube.com/watch?v=JEmCxGNi5Z8",9/25/2017 8:39:03 AM,10/10/2017 11:00:05 AM,1,Global Partner Marketing,0,55722,10/10/2017 11:00:00 AM,37563,LinkedIn,1569272,0
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,Commvault Employee Account - David Bedjanic,Canada,No,8/30/2017 1:49:02 PM,0,,Americas,1,0,,1,0,,Turn your #cloud strategy into an operational reality. Start with #data https://www.youtube.com/watch?v=1_4EKcRot4Y,8/30/2017 1:49:24 PM,9/19/2017 2:00:03 PM,1,AMS CVLT Field,1,51062,9/19/2017 2:00:00 PM,38483,Twitter,1568993,0
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,,Commvault Employee Account - David Bedjanic,Canada,No,1/23/2018 3:43:41 PM,0,,Americas,0,0,,1,0,,If you didn't catch Commvault's #Microsoft @Azure Solution Showcase #Webinar with @virtualpenny & @sdansereau its available on-demand now! http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3230427&SWThemeID=38377,3/9/2018 1:14:50 PM,,0,AMS CVLT Field,0,51062,4/3/2018 11:00:00 AM,36984,Facebook,1585478,0
0,No,True,1795305,HyperScale™ Appliance - Social Content - Twitter,Active,HyperScale Appliance,expoIT,United States,No,3/17/2018 4:42:49 PM,0,10,Americas,0,0,,1,0,514062,Why not invest in a #scale-out architecture that lets you simplify and optimize your hardware investment? See what the #Commvault #HyperScale Appliance and its #scale-out architecture has to offer your business. http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3109049&SWThemeID=38377,3/17/2018 4:42:49 PM,4/24/2018 3:00:04 PM,1,AMS Partner Marketing,0,52965,4/10/2018 3:00:00 PM,38743,Twitter,1583996,0
0,No,True,1763966,Cloud campaign - Twitter - ESP,Active,,"CORPORACION NETIX, C.A.",Venezuela,No,9/27/2017 10:30:12 AM,0,190,Americas,0,0,,1,0,,Una #gestióndedatos eficiente es clave para optimizar su experiencia en la #nube. Vea este corto vídeo para obtener más información. https://www.youtube.com/watch?v=gmtsxOyjNac,4/25/2018 5:05:12 PM,4/30/2018 2:00:05 PM,1,Global Partner Marketing,0,53702,4/30/2018 2:00:00 PM,34543,Twitter,1589467,0
0,No,True,1723029,Cloud campaign - Social Content - LinkedIN,Inactive,,dataage Solutions,Zimbabwe,No,10/9/2017 10:00:44 AM,0,,EMEA,0,0,,1,0,521714,"You want to go to cloud, but you want to securely manage data. You can do both. 
https://www.youtube.com/watch?v=1_4EKcRot4Y",10/9/2017 10:01:05 AM,,0,Global Partner Marketing,0,53903,10/17/2017 11:00:00 AM,38574,LinkedIn,1569284,0
0,No,True,1723025,Cloud campaign - Social Content - Twitter,Active,,SwishData Corporation - Federal,United States,No,6/22/2018 9:54:56 AM,0,,Americas,0,0,,1,0,110843,Commvault have been selected by @CRN editorial team as a Cool #Cloud #Storage Vendor - Recognized for creativity & innovation. Check out the press release http://ow.ly/pr4X100YnCt,6/22/2018 9:55:06 AM,,0,Global Partner Marketing,0,57992,4/2/2018 2:00:00 PM,39864,Twitter,1584747,0
0,No,True,1807752,HyperScale™ Appliance - Social Content - Facebook,Active,HyperScale Appliance,Decisive Technologies,Canada,No,1/5/2018 10:33:26 AM,0,,Americas,0,0,,1,0,104497,Commvault Says Game On With New Hyperscale Appliance - http://www.themoneystreet.com/commvault-says-game-on-with-new-hyperscale-appliance/ …,3/6/2018 5:57:39 PM,,0,AMS Partner Marketing,0,51776,4/4/2018 1:00:00 PM,35863,Facebook,1584573,0
0,No,True,1807752,HyperScale™ Appliance - Social Content - Facebook,Active,HyperScale Appliance,Business Bridge 2 USA LLC,United States,No,3/9/2018 9:29:20 AM,0,,Americas,0,0,,1,0,518113,Why not invest in a #scale-out architecture that lets you simplify and optimize your hardware investment? See what the #Commvault #HyperScale Appliance and its #scale-out architecture has to offer your business. http://[MyWebAddress]/?SwappID=91&RegPageManagedID=3109049&SWThemeID=38377,3/9/2018 9:29:21 AM,,0,AMS Partner Marketing,0,52272,4/12/2018 6:00:00 PM,38083,Facebook,1584585,0
0,No,True,1723037,Cloud campaign - Social Content - Facebook,Active,,Ingram Micro Limited - Thailand,Thailand,No,7/4/2018 5:51:38 AM,0,,APAC,0,0,,1,0,107505,Do you know the 5 key elements of a #cloud #datamanagement strategy? Find them here https://cloud.kapostcontent.net/pub/7ba70328-4314-4ff6-81d4-267bcb3df8de/5-steps-to-develop-your-cloud-data-management-strategy.pdf,7/4/2018 5:51:42 AM,,0,Global Partner Marketing,0,55348,5/1/2018 11:00:00 AM,40386,Facebook,1585670,0
